No. ,Premises,Conclusion,Support,Confidence,Laplace,Gain,p-s,Lift,Conviction
1002,Microsoft Azure,TypeScript,0.01027654,0.371019108,0.983047938,-0.045119746,0.009213717,9.669099129,1.528867381
1003,"Python, Agile",Kubernetes,0.019318132,0.371186441,0.968892802,-0.084770432,0.013751714,3.47047842,1.420205683
1004,TypeScript,"SQL, Docker",0.014246019,0.371264368,0.976765918,-0.062497243,0.012465622,8.001594117,1.516696606
1005,"AWS, JavaScript",HTML/CSS,0.012790544,0.371318822,0.979065405,-0.056101972,0.012190435,21.31370038,1.562920017
1006,"SQL, Kubernetes","AWS, NoSQL",0.017377497,0.371347785,0.971896857,-0.076213999,0.015907971,11.82523642,1.540751765
1007,Statistics,"Python, R",0.01018833,0.371382637,0.983215282,-0.044678693,0.00917196,10.02423633,1.531856395
1008,"AWS, Agile","SQL, Docker",0.017598024,0.37150838,0.971575357,-0.077140211,0.015400154,8.006853134,1.517285464
1009,"AWS, Cloud Computing","Python, Kubernetes",0.011158647,0.371512482,0.981673375,-0.048912804,0.009078812,5.365160826,1.480943718
1010,"SQL, Agile","Java, Kubernetes",0.016010232,0.371545548,0.974038055,-0.07017157,0.013687775,6.893659739,1.505444493
1011,Data Warehousing,Data Modeling,0.010982226,0.371641791,0.981964615,-0.048118908,0.010211953,14.2575877,1.549965831
1012,"Data Analysis, Data Visualization",R,0.01093812,0.371814093,0.982047986,-0.047898381,0.009789831,9.525582971,1.529749041
1013,"Java, Agile",NoSQL,0.018700657,0.371929825,0.96993239,-0.08185948,0.016225795,7.556240961,1.513809278
1014,Node.js,"Kubernetes, Docker",0.011467384,0.371959943,0.981216841,-0.050191858,0.008968163,4.588382907,1.463178033
1015,"Python, Scala",NoSQL,0.015833811,0.372020725,0.974363313,-0.069289463,0.013738862,7.55808773,1.514028404
1016,"Python, Kubernetes, Go",Open Source RDBMS,0.011026331,0.37202381,0.981923324,-0.048251224,0.010491675,20.6232172,1.563691327
1017,"Docker, Go",Open Source RDBMS,0.011732016,0.372027972,0.980802121,-0.051338597,0.011163148,20.62344795,1.563701692
1018,"AWS, NoSQL",RDBMS,0.011687911,0.372191011,0.980885183,-0.05111807,0.01111312,20.33418505,1.563686262
1019,"Python, JavaScript","AWS, TypeScript",0.014642967,0.372197309,0.976235943,-0.06404093,0.01366085,14.90959293,1.553093673
1020,"AWS, Scala","SQL, Agile",0.010982226,0.372197309,0.982006683,-0.048030697,0.009710766,8.63749191,1.524219493
1021,"AWS, Agile","Python, Docker",0.017642129,0.372439479,0.971617467,-0.077096105,0.014558426,5.721084213,1.48973766
1022,"Python, Linux",Java,0.018171393,0.372513562,0.970814584,-0.079389582,0.009739746,2.155141618,1.318197793
1023,"Java, Scala",NoSQL,0.014378335,0.372571429,0.976685918,-0.062805981,0.01247877,7.569275986,1.515357289
1024,"AWS, JavaScript","Docker, TypeScript",0.012834649,0.372599232,0.979108041,-0.056057866,0.012184404,19.73818313,1.563789799
1025,NoSQL,"SQL, Kubernetes, Docker",0.018347815,0.372759857,0.970574635,-0.080095267,0.016291942,8.924587359,1.527696001
1026,"Java, JavaScript","Kubernetes, Docker",0.018039077,0.372835005,0.971055953,-0.078728002,0.014116837,4.599177398,1.465219555
1027,R,"Python, SQL, Data Visualization",0.014554757,0.372881356,0.976441124,-0.063511666,0.013599284,15.23304321,1.555561383
1028,"Python, Docker","SQL, Go",0.024302033,0.373306233,0.961696136,-0.105896882,0.022154351,11.31547089,1.543033087
1029,"Python, Docker","Java, Go",0.024302033,0.373306233,0.961696136,-0.105896882,0.021738023,9.478132388,1.532828308
1030,"SQL, Data Analysis","Python, Data Visualization",0.014246019,0.373410405,0.976973405,-0.06205619,0.013123681,12.69315458,1.548991168
1031,"Python, Spark","Java, Hadoop",0.013937282,0.373522459,0.977465028,-0.060688925,0.013227983,19.64936126,1.565883118
1032,"SQL, Docker","AWS, NoSQL",0.017333392,0.373574144,0.972223393,-0.075464209,0.015876331,11.89613283,1.5462277
1033,"SQL, Agile","Python, Kubernetes",0.016098443,0.373592631,0.974122622,-0.070083359,0.013114598,5.39520109,1.485861577
1034,"SQL, Agile","Python, NoSQL",0.016098443,0.373592631,0.974122622,-0.070083359,0.014509593,10.13213602,1.537542495
1035,"SQL, Agile","AWS, NoSQL",0.016098443,0.373592631,0.974122622,-0.070083359,0.01474526,11.8967215,1.546273331
1036,"SQL, JavaScript","AWS, Kubernetes",0.013496229,0.373626374,0.978162779,-0.058748291,0.011240281,5.982507605,1.496785341
1037,Go,"Python, AWS, Docker",0.023684559,0.373695198,0.962671091,-0.103074141,0.021026165,8.90934935,1.52969582
1038,"Java, AWS, Go",NoSQL,0.011820227,0.373779637,0.980803762,-0.051426807,0.010263668,7.593822328,1.518280969
1039,"JavaScript, TypeScript","Go, HTML/CSS",0.011114542,0.37388724,0.981924873,-0.048339435,0.010735628,29.33268305,1.576798342
1040,"SQL, AWS","Python, Go",0.026374983,0.37398374,0.958759064,-0.114673841,0.022477524,6.767225326,1.509123788
1041,"Java, Go","JavaScript, TypeScript",0.014731178,0.374020157,0.976279386,-0.06404093,0.013560349,12.5818383,1.550006797
1042,"SQL, Kubernetes","Docker, Agile",0.017509813,0.374175306,0.972023258,-0.076081683,0.016259065,13.99946653,1.555183398
1043,Microsoft Azure,"Python, SQL, Java",0.010364751,0.374203822,0.983133771,-0.045031535,0.008650796,6.047272451,1.49908271
1044,NoSQL,"Java, Kubernetes",0.018436025,0.374551971,0.970658708,-0.080007057,0.015783146,6.949440954,1.512680912
1045,NoSQL,"AWS, Docker",0.018436025,0.374551971,0.970658708,-0.080007057,0.01546619,6.207760852,1.502385289
1046,"SQL, Java",Agile,0.030300357,0.374591058,0.953197046,-0.131477969,0.02244084,3.855244237,1.443593002
1047,TypeScript,"Java, Kubernetes",0.014378335,0.374712644,0.976893344,-0.062364927,0.012310231,6.95242207,1.513069607
1048,"Docker, Go","Python, TypeScript",0.011820227,0.374825175,0.980887635,-0.051250386,0.011128962,17.09941889,1.564489827
1049,"Python, Cloud Computing",Software Engineering,0.012217175,0.374830853,0.98026653,-0.052970494,0.009340614,4.247146386,1.458397701
1050,"SQL, JavaScript","Kubernetes, TypeScript",0.013540334,0.374847375,0.978205347,-0.058704186,0.012875977,20.38109,1.570189487
1051,Data Analytics,Data Visualization,0.013099281,0.375,0.978904752,-0.056763551,0.011346008,7.471331283,1.519693027
1052,"Python, R",Data Analysis,0.013893177,0.375,0.977671926,-0.060203767,0.010695371,4.344596321,1.461897411
1053,"Python, Hadoop","Java, Kafka",0.01018833,0.375,0.98346859,-0.044149429,0.009574804,16.60620117,1.563868919
1054,"Python, Hadoop","Java, Hive",0.01018833,0.375,0.98346859,-0.044149429,0.009869584,31.96381579,1.581228774
1055,"AWS, NoSQL","Kubernetes, Go",0.011776121,0.375,0.980970708,-0.051029859,0.010687481,10.81727099,1.544533145
1056,"Java, Go","Python, Scala",0.014775283,0.375139978,0.97632182,-0.063996824,0.013098948,8.814040116,1.532244548
1057,Jenkins,DevOps,0.018480131,0.375448029,0.970700744,-0.079962952,0.014772179,4.983918709,1.480530284
1058,AWS,Kubernetes,0.062453138,0.375596817,0.910978331,-0.270101001,0.044668906,3.511714075,1.430237088
1059,Hadoop,"Python, Spark, Kafka",0.012393596,0.375668449,0.980060629,-0.053587968,0.011853765,22.9583039,1.575504111
1060,"AWS, Docker","SQL, Go",0.022670136,0.375730994,0.964477351,-0.098002029,0.020679602,11.38896902,1.549026476
1061,Microsoft Azure,"AWS, JavaScript",0.010408856,0.375796178,0.983176688,-0.04498743,0.009454759,10.90963733,1.546856506
1062,"AWS, Agile","Java, Docker",0.017818551,0.376163873,0.97178591,-0.076919684,0.015305207,7.08957897,1.517932764
1063,R,Data Analysis,0.014687073,0.376271186,0.976568469,-0.06337935,0.011317956,4.359323766,1.464876822
1064,"AWS, NoSQL","Java, Go",0.011820227,0.376404494,0.98101347,-0.050985754,0.010583387,9.556796306,1.540443986
1065,"SQL, AWS","Java, Go",0.026551405,0.376485303,0.958923863,-0.11449742,0.023773726,9.55884802,1.540643631
1066,"Python, Kubernetes, Go",Scala,0.011158647,0.376488095,0.982051831,-0.048118908,0.009757299,7.962793455,1.527988617
1067,"Python, Hadoop","Java, AWS",0.010232435,0.376623377,0.983511529,-0.044105324,0.008023983,4.633305382,1.473770197
1068,"SQL, Agile","Java, NoSQL",0.016230759,0.376663255,0.974249471,-0.069951043,0.014746439,10.93480919,1.54900822
1069,"Python, JavaScript","SQL, Kubernetes",0.014819389,0.376681614,0.976405686,-0.063864508,0.012978353,8.049483734,1.529241354
1070,"Python, JavaScript","SQL, Docker",0.014819389,0.376681614,0.976405686,-0.063864508,0.012993969,8.118348139,1.529878184
1071,SQL,Java,0.080889163,0.376746097,0.88983697,-0.348520266,0.043777719,2.179628542,1.327149711
1072,"AWS, Go","Java, JavaScript",0.014025493,0.376777251,0.977633202,-0.060424293,0.012224421,7.787302294,1.526928312
1073,"Python, Java","SQL, AWS",0.040709214,0.376888526,0.939256429,-0.175318661,0.033091594,5.344086022,1.491668227
1074,"SQL, AWS, Go",GCP,0.010541172,0.376971609,0.983052302,-0.045384378,0.009358431,8.91248935,1.537173921
1075,"Python, AWS, Azure",Docker,0.01292286,0.377091377,0.979360341,-0.055616813,0.00951749,3.79484811,1.445847229
1076,"Python, SQL, Kubernetes",JavaScript,0.014819389,0.377104377,0.976447123,-0.063776298,0.011573023,4.564915933,1.472784035
1077,"Python, GCP","Java, Azure",0.011643805,0.377142857,0.981345998,-0.050103648,0.010898958,15.63246801,1.566770806
1078,"AWS, GCP","Python, Kubernetes",0.013893177,0.377245509,0.977879871,-0.059762713,0.011343013,5.447953774,1.494577166
1079,Security,Python,0.016010232,0.377338877,0.97465623,-0.06884841,0.003301834,1.259815103,1.124979098
1080,"Python, Azure",Kubernetes,0.01499581,0.377358491,0.976202596,-0.064481983,0.01074552,3.528185178,1.434283736
1081,"SQL, Docker","Kubernetes, Agile",0.017509813,0.377376426,0.972391992,-0.075287787,0.01627786,14.21304934,1.563462477
1082,"Java, Go",Scala,0.014863494,0.377379619,0.976406688,-0.063908614,0.013001286,7.981649354,1.530176529
1083,"Python, Jenkins",SQL,0.01018833,0.37745098,0.983637535,-0.043796586,0.004392922,1.758000427,1.261419198
1084,Reporting,Data Analysis,0.014069598,0.377514793,0.977634153,-0.060468399,0.010852757,4.373731681,1.467803365
1085,"HTML, CSS","Java, JavaScript",0.011290963,0.377581121,0.981927969,-0.048515856,0.00984413,7.803916823,1.528900379
1086,"Docker, Go","SQL, NoSQL",0.011908437,0.377622378,0.980973149,-0.051162175,0.010663604,9.566292925,1.543316631
1087,"Docker, Go","Kubernetes, NoSQL",0.011908437,0.377622378,0.980973149,-0.051162175,0.011207436,16.98776224,1.571025181
1088,Machine Learning,"Python, SQL",0.022978874,0.377810007,0.964327291,-0.098663609,0.014815903,2.81501357,1.391516274
1089,Snowflake,Redshift,0.011114542,0.377811094,0.982219366,-0.04772196,0.010655226,24.19805352,1.582134793
1090,Snowflake,"Python, Kafka",0.011114542,0.377811094,0.982219366,-0.04772196,0.010378858,15.10777944,1.567035787
1091,"Kubernetes, Go","Docker, Agile",0.013099281,0.377862595,0.979155122,-0.056234287,0.012172713,14.13742348,1.564400672
1092,Jira,Git,0.012084859,0.377931034,0.980724848,-0.05186786,0.010100528,6.090142391,1.507781069
1093,NoSQL,"AWS, Kubernetes",0.018612447,0.378136201,0.970826853,-0.079830636,0.015538407,6.054718982,1.507640199
1094,TypeScript,"Java, Docker",0.014510651,0.37816092,0.977020771,-0.062232611,0.012474702,7.127217397,1.522807629
1095,TypeScript,"SQL, JavaScript, Go",0.014510651,0.37816092,0.977020771,-0.062232611,0.013872619,22.74281838,1.581393521
1096,"Java, JavaScript","SQL, AWS",0.018303709,0.378304467,0.971308372,-0.078463371,0.014891489,5.364163336,1.495065571
1097,"SQL, Go","Java, NoSQL",0.012481807,0.378342246,0.980146023,-0.053499757,0.011345398,10.98355153,1.553191826
1098,"Python, SQL, Docker",JavaScript,0.014819389,0.378378378,0.976571453,-0.063511666,0.011583953,4.580337946,1.475802477
1099,"AWS, GCP","SQL, Java",0.013937282,0.378443114,0.977922409,-0.059718608,0.010958301,4.678539105,1.4787236
1100,"SQL, JavaScript","AWS, Go",0.01367265,0.378510379,0.97833305,-0.05857187,0.012328003,10.16820594,1.549141086
1101,"SQL, JavaScript","Docker, TypeScript",0.01367265,0.378510379,0.97833305,-0.05857187,0.012990768,20.05132199,1.578663404
1102,"Python, SQL, Go",HTML/CSS,0.011687911,0.378571429,0.981388782,-0.050059542,0.011150041,21.73,1.581160639
1103,CSS,"Java, HTML",0.013275702,0.378616352,0.97895006,-0.056851762,0.01268494,22.47216899,1.582197681
1104,Tableau,R,0.019538658,0.378632479,0.969508871,-0.083667799,0.017524419,9.700264619,1.546535272
1105,"AWS, JavaScript","Python, Kubernetes",0.013055176,0.37900128,0.979321225,-0.05583734,0.010669932,5.473309574,1.498802836
1106,"Docker, Go","Kubernetes, TypeScript",0.011952543,0.379020979,0.981015906,-0.05111807,0.011372548,20.60801596,1.580742742
1107,"Java, Docker",JavaScript,0.020112028,0.379052369,0.968713352,-0.086005381,0.015728887,4.588496724,1.477404347
1108,"Docker, JavaScript","TypeScript, HTML/CSS",0.010232435,0.379084967,0.983680481,-0.043752481,0.009826471,25.20525943,1.586304136
1109,"Python, Java, Kubernetes",JavaScript,0.014951705,0.379194631,0.976450121,-0.063908614,0.011694408,4.590218828,1.477742904
1110,Oracle,Java,0.010452962,0.3792,0.98334621,-0.044678693,0.005688243,2.193825364,1.332395678
1111,"SQL, Docker","AWS, Agile",0.017598024,0.379277567,0.972476291,-0.075199577,0.015400154,8.006853134,1.534713152
1112,TypeScript,"AWS, Docker",0.014554757,0.379310345,0.977063246,-0.062188506,0.012239563,6.286625328,1.513902978
1113,"Java, AWS, Agile",Scala,0.012834649,0.379400261,0.979692833,-0.054822917,0.011235194,8.024386299,1.535158707
1114,Microservices,"Kubernetes, Docker",0.01499581,0.379464286,0.976409691,-0.06404093,0.01179223,4.680954162,1.480872727
1115,"SQL, Scala","Java, NoSQL",0.011820227,0.379603399,0.981265238,-0.05045649,0.010747627,11.02016373,1.556349183
1116,"Java, Go","Python, TypeScript",0.014951705,0.379619261,0.976491556,-0.063820403,0.014088349,17.31812375,1.576579659
1117,"Kubernetes, Docker, Go",Open Source RDBMS,0.011687911,0.37965616,0.981472765,-0.049883121,0.011132568,21.04631816,1.582930079
1118,Hadoop,"Python, AWS, Spark",0.012525912,0.379679144,0.98018872,-0.053455652,0.011890047,19.69900513,1.580997906
1119,"SQL, Go","AWS, TypeScript",0.012525912,0.379679144,0.98018872,-0.053455652,0.011702343,15.20930255,1.5718259
1120,"SQL, Go","Kubernetes, Agile",0.012525912,0.379679144,0.98018872,-0.053455652,0.01164996,14.29977615,1.56926627
1121,"Kubernetes, Docker",Go,0.030785516,0.379760609,0.95349027,-0.131345653,0.025647632,5.991866594,1.510095399
1122,NoSQL,"Java, Agile",0.018700657,0.379928315,0.970910925,-0.079742425,0.016225795,7.556240961,1.531629253
1123,"Python, Data Analysis",Tableau,0.012084859,0.380027739,0.980892537,-0.051515018,0.010443879,7.364417891,1.529740654
1124,"Python, JavaScript","Java, Kubernetes",0.014951705,0.380044843,0.976532994,-0.063732192,0.012831303,7.05135575,1.526083434
1125,"Java, Software Engineering","SQL, AWS",0.013496229,0.380124224,0.97874606,-0.057513342,0.010992275,5.389966555,1.499454605
1126,Kafka,Scala,0.013849072,0.380145278,0.978211839,-0.059012923,0.012126581,8.040143562,1.53700385
1127,"SQL, AWS, Agile",Scala,0.010982226,0.380152672,0.982596022,-0.046795748,0.009616328,8.040299932,1.537022182
1128,"AWS, Software Engineering","Python, Docker",0.011687911,0.380200861,0.981514763,-0.04979491,0.009686662,5.840307668,1.508392773
1129,"AWS, Software Engineering","Java, Docker",0.011687911,0.380200861,0.981514763,-0.04979491,0.010056811,7.165664271,1.527819637
1130,"Python, Software Engineering","Java, AWS",0.014642967,0.380297824,0.977023698,-0.062364927,0.011513131,4.678509254,1.482508734
1131,Tableau,Power BI,0.019626869,0.38034188,0.969592753,-0.083579588,0.017837951,10.97136317,1.557848086
1132,"Kubernetes, Go","Docker, JavaScript",0.013187492,0.380407125,0.979240377,-0.056146077,0.01225175,14.09308944,1.570398209
1133,"Docker, Go",TypeScript,0.011996648,0.38041958,0.981058663,-0.051073965,0.010786587,9.914084077,1.552063845
1134,TypeScript,"JavaScript, HTML/CSS",0.014598862,0.38045977,0.977105721,-0.062144401,0.013977754,23.50453506,1.587973305
1135,"AWS, DevOps","Kubernetes, Docker",0.011246857,0.380597015,0.982221651,-0.047854276,0.008851324,4.69492716,1.483580863
1136,"Java, Docker",Agile,0.020200238,0.380714879,0.968797118,-0.08591717,0.015044841,3.918269842,1.45786802
1137,"Docker, JavaScript","Java, HTML/CSS",0.01027654,0.380718954,0.983723427,-0.043708376,0.00985748,24.52284332,1.589706213
1138,Terraform,"Python, Ansible",0.016760023,0.380761523,0.973892104,-0.071274203,0.015601014,14.46064659,1.572365346
1139,"SQL, Machine Learning","Python, Data Visualization",0.010011908,0.380872483,0.984141991,-0.042561637,0.009238598,12.94680931,1.567660495
1140,Hadoop,"Python, Scala, Spark",0.012570017,0.381016043,0.980231416,-0.053411547,0.011938517,19.90501553,1.584626351
1141,"SQL, Scala",Spark,0.011864332,0.38101983,0.981308011,-0.050412385,0.010547273,9.008198755,1.547227264
1142,"SQL, Scala","AWS, Kubernetes",0.011864332,0.38101983,0.981308011,-0.050412385,0.009919644,6.100891671,1.514663809
1143,"Java, Kubernetes, Go",TypeScript,0.010761699,0.38125,0.983013769,-0.045693115,0.009678567,9.935725575,1.554146858
1144,"Java, Kubernetes, Go",Open Source RDBMS,0.010761699,0.38125,0.983013769,-0.045693115,0.010252503,21.13467298,1.587007552
1145,"Python, Software Engineering",Docker,0.014687073,0.381443299,0.977066168,-0.062320822,0.010860963,3.83864355,1.456019642
1146,"AWS, Go","Python, JavaScript",0.014201914,0.381516588,0.977803291,-0.060247872,0.012737414,9.697450216,1.553247884
1147,"Java, Agile",Kubernetes,0.019185816,0.381578947,0.970394322,-0.081374322,0.01380809,3.567645144,1.444072104
1148,TypeScript,"Python, AWS, JavaScript",0.014642967,0.381609195,0.977148197,-0.062100296,0.013825541,17.91350991,1.582651491
1149,"AWS, Software Engineering","Python, Kubernetes",0.011732016,0.381635581,0.981557552,-0.049750805,0.009603316,5.511352567,1.505187901
1150,Spark,"Java, Scala",0.016142548,0.38164755,0.974906906,-0.068451462,0.014510216,9.889251303,1.55478941
1151,"SQL, Java","Python, Docker",0.030873726,0.381679389,0.953727506,-0.1309046,0.025607886,5.863019508,1.511999643
1152,Microservices,"Java, AWS",0.015084021,0.381696429,0.976494548,-0.063952719,0.011871726,4.695715206,1.485862174
1153,NoSQL,"AWS, Agile",0.018788868,0.38172043,0.970994998,-0.079654214,0.016457287,8.05842394,1.540776906
1154,"Java, AWS, Docker",JavaScript,0.014598862,0.38177624,0.977230246,-0.061879769,0.01143994,4.621469668,1.483913735
1155,"Docker, Go",NoSQL,0.012040753,0.381818182,0.98110142,-0.051029859,0.010488537,7.757135875,1.538023978
1156,"Java, Go",TypeScript,0.015039915,0.381858903,0.976576424,-0.063732192,0.013528608,9.951594136,1.555677777
1157,R,"SQL, Data Visualization",0.014907599,0.381920904,0.976780711,-0.063158823,0.013547557,10.96112994,1.561542528
1158,Tableau,"SQL, Data Visualization",0.01971508,0.382051282,0.969676635,-0.083491377,0.017917058,10.96487179,1.561871991
1159,"SQL, Java, Go",HTML/CSS,0.011864332,0.382102273,0.981391966,-0.050235963,0.011323389,21.93267045,1.590195843
1160,"SQL, JavaScript","AWS, Docker",0.013804966,0.382173382,0.978460753,-0.058439554,0.011625491,6.334076823,1.520918475
1161,Windows,Python,0.015789706,0.382478632,0.975517811,-0.06677546,0.003424777,1.276975119,1.134342526
1162,Attention to Detail,Teamwork,0.014069598,0.382494005,0.978091632,-0.059498081,0.010172682,3.610444034,1.44785479
1163,C++,Java,0.023949191,0.382663848,0.963639382,-0.101221717,0.013131372,2.213865124,1.339871696
1164,"Python, NoSQL","Java, Scala",0.014113704,0.38277512,0.978050959,-0.059630397,0.012690732,9.9184689,1.557629759
1165,"Java, Scala","Python, Go",0.014775283,0.382857143,0.977068116,-0.062409033,0.012642527,6.927789306,1.53082227
1166,"Java, Scala","Python, Spark",0.014775283,0.382857143,0.977068116,-0.062409033,0.01333529,10.26066194,1.559909323
1167,"Python, Java, Scala",Docker,0.01358444,0.383084577,0.978872939,-0.057336921,0.010060737,3.855160505,1.459893322
1168,"AWS, Docker, Go",Scala,0.010497067,0.383252818,0.983557998,-0.044281745,0.009202071,8.105868604,1.54474819
1169,"SQL, Java","Python, Kubernetes",0.031006042,0.383315158,0.95384992,-0.130772284,0.025404843,5.535608013,1.509287368
1170,Go,"Python, SQL, Docker",0.024302033,0.383437717,0.963251763,-0.102456667,0.021819748,9.790183973,1.558373744
1171,Go,"Python, Java, Docker",0.024302033,0.383437717,0.963251763,-0.102456667,0.021853292,9.924296082,1.559232155
1172,Docker,"Python, AWS, Kubernetes",0.038107,0.383488682,0.944275054,-0.160631588,0.033746198,8.738531539,1.55084777
1173,NoSQL,"SQL, Agile",0.018877078,0.383512545,0.97107907,-0.079566004,0.016756078,8.90008181,1.552195573
1174,Hadoop,"Spark, Hive",0.012658228,0.38368984,0.98031681,-0.053323336,0.012169325,25.89107063,1.598514311
1175,"SQL, Go","Docker, JavaScript",0.012658228,0.38368984,0.98031681,-0.053323336,0.011767726,14.21470545,1.57876278
1176,Data Analytics,"Python, SQL",0.013408018,0.383838384,0.979203068,-0.056454814,0.008719786,2.859930226,1.405130534
1177,"AWS, Azure",SQL,0.020332554,0.383846794,0.969003937,-0.085608433,0.008959539,1.787789311,1.274513024
1178,"SQL, Java",Go,0.031050148,0.383860414,0.953890725,-0.130728179,0.025923445,6.056553358,1.520143604
1179,TypeScript,"SQL, AWS, JavaScript",0.014731178,0.383908046,0.977233148,-0.062012085,0.013920522,18.17191467,1.588843262
1180,TypeScript,"Java, JavaScript, Go",0.014731178,0.383908046,0.977233148,-0.062012085,0.014055913,21.81540633,1.594570371
1181,"Java, Go","SQL, Agile",0.015128126,0.384098544,0.976661292,-0.063643982,0.013430945,8.913680955,1.55367241
1182,"Python, Data Analysis","SQL, R",0.012217175,0.384188627,0.981020775,-0.051382702,0.011211549,12.14882669,1.572521271
1183,"Python, Cloud Computing","Kubernetes, Docker",0.012525912,0.384303112,0.980565522,-0.052661756,0.009883674,4.740644432,1.492511061
1184,Cloud computing,"SQL, Java",0.010144224,0.384615385,0.984186326,-0.042605743,0.008010774,4.754844392,1.49355511
1185,"Docker, Go","Java, JavaScript",0.012128964,0.384615385,0.981186933,-0.050941649,0.010603174,7.949302293,1.546376748
1186,"Python, Kubernetes","Docker, Go",0.026639615,0.384713376,0.960153446,-0.1118511,0.024455942,12.19944947,1.574005765
1187,Docker,"Java, AWS",0.038239315,0.38482024,0.94439541,-0.160499272,0.030161972,4.734145032,1.493407209
1188,Go,"SQL, Java, Kubernetes",0.024390244,0.384829506,0.963334716,-0.102368456,0.022109225,10.69269533,1.567061596
1189,Go,"SQL, Java, Docker",0.024390244,0.384829506,0.963334716,-0.102368456,0.022131588,10.7985636,1.567635164
1190,Software engineering,AWS,0.011202752,0.384848485,0.982599751,-0.047016275,0.006362508,2.314501246,1.355313138
1191,"Python, Java, JavaScript",Agile,0.010982226,0.384853168,0.982933105,-0.046090063,0.008209539,3.960860594,1.467675563
1192,"SQL, Cloud Computing","Python, Kubernetes",0.010100119,0.38487395,0.984270242,-0.042385216,0.008282936,5.558119146,1.513112055
1193,"Python, SQL, Java",NoSQL,0.023816875,0.384889522,0.964155175,-0.099942663,0.020771057,7.819534178,1.545703567
1194,"SQL, Go",HTML/CSS,0.012702333,0.385026738,0.980359506,-0.053279231,0.012127581,22.10053476,1.597757915
1195,"AWS, DevOps",Java,0.011379173,0.385074627,0.982350169,-0.04772196,0.006271395,2.227812456,1.345124585
1196,"Java, Scala",Go,0.014863494,0.385142857,0.977153049,-0.062320822,0.012417548,6.076787752,1.523314254
1197,Scrum,AWS,0.012217175,0.385257302,0.981104651,-0.051206281,0.006944241,2.316959895,1.35621445
1198,"SQL, Scala","AWS, Docker",0.011996648,0.385269122,0.981436332,-0.050280069,0.010117881,6.385385087,1.528577709
1199,"AWS, JavaScript","Go, TypeScript",0.013275702,0.385403329,0.979534408,-0.055616813,0.012695344,22.87499916,1.599669853
1200,"Python, Scala",Agile,0.01640718,0.385492228,0.974913275,-0.068716094,0.01227172,3.967437714,1.469201877
1201,Go,"Python, SQL, Kubernetes",0.024434349,0.3855254,0.963376192,-0.102324351,0.021943677,9.810345003,1.563453
1202,"Python, Agile",Docker,0.020067922,0.38559322,0.9696055,-0.084020641,0.014896319,3.880406163,1.465854115
1203,"AWS, GCP","Kubernetes, Docker",0.014201914,0.385628743,0.978177642,-0.059453976,0.011216435,4.756996996,1.495731456
1204,"AWS, Scala","Java, NoSQL",0.011379173,0.385650224,0.982392254,-0.047633749,0.010362786,11.19570747,1.57166777
1205,"JavaScript, TypeScript","Kubernetes, Go",0.011467384,0.385756677,0.982267529,-0.047986592,0.010436845,11.12755869,1.571581129
1206,Spark,"SQL, Hadoop",0.01631897,0.385818561,0.975076168,-0.068275041,0.015397401,17.70782234,1.592708454
1207,"SQL, JavaScript",HTML/CSS,0.013937282,0.385836386,0.978588456,-0.058307238,0.013307975,22.14700855,1.599864229
