Size,Support,Item 1,Item 2,Item 3,Item 4
1,0.012,XML,,,
1,0.012,Travel,,,
1,0.012,Planning,,,
1,0.012,PowerBI,,,
1,0.012,Analysis,,,
1,0.012,Containerization,,,
1,0.012,MPLS,,,
1,0.012,Javascript,,,
1,0.012,Regulatory Compliance,,,
1,0.012,Computer science,,,
1,0.012,Decision Making,,,
1,0.012,Maintenance,,,
1,0.012,SAP,,,
1,0.012,Kanban,,,
1,0.012,Critical thinking,,,
1,0.012,JSON,,,
1,0.011,EMR,,,
1,0.011,Postgres,,,
1,0.011,Prototyping,,,
1,0.011,Full Stack Development,,,
1,0.011,Encryption,,,
1,0.011,Hardware,,,
1,0.011,Node,,,
1,0.011,Analytical Thinking,,,
1,0.011,Continuous Improvement,,,
1,0.011,US Citizenship,,,
1,0.011,GitLab,,,
1,0.011,Information Security,,,
1,0.011,Robotics,,,
1,0.011,Software,,,
1,0.011,Information Systems,,,
1,0.011,Network Troubleshooting,,,
1,0.011,PowerPoint,,,
1,0.011,Programming Languages,,,
1,0.011,Routers,,,
1,0.011,Selenium,,,
1,0.011,Data warehousing,,,
1,0.011,Data science,,,
1,0.011,Initiative,,,
1,0.011,Open source frameworks,,,
1,0.011,Storage,,,
1,0.011,Verbal communication,,,
1,0.01,AI,,,
1,0.01,DevSecOps,,,
1,0.01,Network security,,,
1,0.01,Team Collaboration,,,
1,0.01,Chef,,,
1,0.01,Deep Learning,,,
1,0.01,Management,,,
1,0.01,Maven,,,
1,0.01,Android,,,
1,0.01,Cloud,,,
1,0.01,Coding,,,
1,0.01,Data engineering,,,
1,0.01,Optimization,,,
1,0.01,Process Improvement,,,
1,0.01,SIEM,,,
1,0.01,Spring,,,
1,0.01,Diversity,,,
1,0.01,Performance,,,
1,0.01,Budgeting,,,
1,0.01,Creativity,,,
1,0.01,Data management,,,
1,0.01,Distributed systems,,,
1,0.01,Infrastructure as Code,,,
1,0.01,Kotlin,,,
1,0.01,Databricks,,,
1,0.01,Risk management,,,
1,0.01,Cyber Security,,,
2,0.134,Python,SQL,,
2,0.046,Python,Communication,,
2,0.108,Python,Java,,
2,0.103,Python,AWS,,
2,0.069,Python,Kubernetes,,
2,0.025,Python,Teamwork,,
2,0.065,Python,Docker,,
2,0.021,Python,Troubleshooting,,
2,0.049,Python,Linux,,
2,0.052,Python,Agile,,
2,0.039,Python,Software Engineering,,
2,0.032,Python,Data Analysis,,
2,0.021,Python,Problem Solving,,
2,0.015,Python,Leadership,,
2,0.039,Python,JavaScript,,
2,0.025,Python,Collaboration,,
2,0.04,Python,DevOps,,
2,0.027,Python,Computer Science,,
2,0.04,Python,Azure,,
2,0.023,Python,Software Development,,
2,0.012,Python,Project Management,,
2,0.055,Python,Go,,
2,0.036,Python,C++,,
2,0.015,Python,Communication Skills,,
2,0.032,Python,Git,,
2,0.046,Python,Machine Learning,,
2,0.012,Python,Communication skills,,
2,0.02,Python,Bachelor's Degree,,
2,0.033,Python,Cloud Computing,,
2,0.033,Python,Tableau,,
2,0.029,Python,Data Visualization,,
2,0.012,Python,Problemsolving,,
2,0.027,Python,Jenkins,,
2,0.037,Python,NoSQL,,
2,0.043,Python,Scala,,
2,0.015,Python,Networking,,
2,0.016,Python,React,,
2,0.021,Python,Automation,,
2,0.03,Python,Terraform,,
2,0.026,Python,Ansible,,
2,0.016,Python,Security,,
2,0.031,Python,GCP,,
2,0.037,Python,Spark,,
2,0.023,Python,CI/CD,,
2,0.016,Python,Windows,,
2,0.017,Python,Data analysis,,
2,0.012,Python,Mentoring,,
2,0.018,Python,Microservices,,
2,0.011,Python,Engineering,,
2,0.037,Python,R,,
2,0.022,Python,TypeScript,,
2,0.012,Python,HTML,,
2,0.025,Python,Kafka,,
2,0.011,Python,CSS,,
2,0.017,Python,Data Analytics,,
2,0.018,Python,Power BI,,
2,0.011,Python,Angular,,
2,0.024,Python,Data Engineering,,
2,0.025,Python,Data Science,,
2,0.027,Python,Hadoop,,
2,0.02,Python,MySQL,,
2,0.015,Python,Jira,,
2,0.014,Python,Scrum,,
2,0.016,Python,Node.js,,
2,0.014,Python,Business Intelligence,,
2,0.017,Python,Data Warehousing,,
2,0.023,Python,Snowflake,,
2,0.013,Python,Software engineering,,
2,0.011,Python,DNS,,
2,0.018,Python,Microsoft Azure,,
2,0.019,Python,Statistics,,
2,0.013,Python,Agile Development,,
2,0.016,Python,Cloud computing,,
2,0.013,Python,Data Modeling,,
2,0.014,Python,Scripting,,
2,0.016,Python,ETL,,
2,0.018,Python,PowerShell,,
2,0.012,Python,TCP/IP,,
2,0.017,Python,Machine learning,,
2,0.013,Python,Data visualization,,
2,0.011,Python,Algorithms,,
2,0.012,Python,Confluence,,
2,0.019,Python,Bash,,
2,0.011,Python,PostgreSQL,,
2,0.012,Python,C/C++,,
2,0.012,Python,Data Mining,,
2,0.01,Python,MongoDB,,
2,0.016,Python,Hive,,
2,0.015,Python,RDBMS,,
2,0.017,Python,Open Source RDBMS,,
2,0.013,Python,Google Cloud,,
2,0.014,Python,Puppet,,
2,0.013,Python,HTML/CSS,,
2,0.011,Python,Artificial Intelligence,,
2,0.012,Python,Big Data,,
2,0.012,Python,Agile practices,,
2,0.012,Python,Cassandra,,
2,0.014,Python,Redshift,,
2,0.014,Python,PyTorch,,
2,0.012,Python,NoSQL databases,,
2,0.013,Python,TensorFlow,,
2,0.011,Python,Data Pipelines,,
2,0.011,Python,Airflow,,
2,0.011,Python,Ruby,,
2,0.011,Python,Perl,,
2,0.011,Python,EMR,,
2,0.043,SQL,Communication,,
2,0.081,SQL,Java,,
2,0.071,SQL,AWS,,
2,0.047,SQL,Kubernetes,,
2,0.021,SQL,Teamwork,,
2,0.046,SQL,Docker,,
2,0.011,SQL,Troubleshooting,,
2,0.021,SQL,Linux,,
2,0.043,SQL,Agile,,
2,0.023,SQL,Software Engineering,,
2,0.038,SQL,Data Analysis,,
2,0.022,SQL,Problem Solving,,
2,0.013,SQL,Leadership,,
2,0.036,SQL,JavaScript,,
2,0.018,SQL,Collaboration,,
2,0.02,SQL,DevOps,,
2,0.015,SQL,Computer Science,,
2,0.027,SQL,Azure,,
2,0.012,SQL,Software Development,,
2,0.014,SQL,Project Management,,
2,0.033,SQL,Go,,
2,0.013,SQL,Communication Skills,,
2,0.02,SQL,Git,,
2,0.026,SQL,Machine Learning,,
2,0.011,SQL,Communication skills,,
2,0.015,SQL,Bachelor's Degree,,
2,0.026,SQL,Cloud Computing,,
2,0.041,SQL,Tableau,,
2,0.035,SQL,Data Visualization,,
2,0.01,SQL,Problemsolving,,
2,0.016,SQL,Jenkins,,
2,0.039,SQL,NoSQL,,
2,0.031,SQL,Scala,,
2,0.012,SQL,React,,
2,0.021,SQL,GCP,,
2,0.027,SQL,Spark,,
2,0.018,SQL,Data analysis,,
2,0.011,SQL,Analytical Skills,,
2,0.016,SQL,Microservices,,
2,0.032,SQL,R,,
2,0.02,SQL,TypeScript,,
2,0.015,SQL,Reporting,,
2,0.014,SQL,HTML,,
2,0.018,SQL,Kafka,,
2,0.012,SQL,CSS,,
2,0.019,SQL,Data Analytics,,
2,0.024,SQL,Power BI,,
2,0.012,SQL,Angular,,
2,0.021,SQL,Data Engineering,,
2,0.02,SQL,Data Science,,
2,0.022,SQL,Hadoop,,
2,0.014,SQL,MySQL,,
2,0.01,SQL,Jira,,
2,0.012,SQL,Excel,,
2,0.012,SQL,Scrum,,
2,0.014,SQL,Node.js,,
2,0.022,SQL,Business Intelligence,,
2,0.021,SQL,Data Warehousing,,
2,0.019,SQL,Snowflake,,
2,0.014,SQL,Microsoft Azure,,
2,0.015,SQL,Oracle,,
2,0.017,SQL,Statistics,,
2,0.013,SQL,Cloud computing,,
2,0.017,SQL,Data Modeling,,
2,0.018,SQL,ETL,,
2,0.011,SQL,Data Management,,
2,0.011,SQL,Machine learning,,
2,0.015,SQL,Data visualization,,
2,0.014,SQL,Data Mining,,
2,0.012,SQL,Hive,,
2,0.014,SQL,RDBMS,,
2,0.015,SQL,Open Source RDBMS,,
2,0.015,SQL,HTML/CSS,,
2,0.011,SQL,Agile practices,,
2,0.01,SQL,Data Governance,,
2,0.01,SQL,Data Quality,,
2,0.011,SQL,NoSQL databases,,
2,0.01,SQL,Open Source Frameworks,,
2,0.022,Communication,Java,,
2,0.024,Communication,AWS,,
2,0.013,Communication,Kubernetes,,
2,0.06,Communication,Teamwork,,
2,0.011,Communication,Docker,,
2,0.027,Communication,Troubleshooting,,
2,0.012,Communication,Linux,,
2,0.019,Communication,Agile,,
2,0.016,Communication,Software Engineering,,
2,0.031,Communication,Data Analysis,,
2,0.05,Communication,Problem Solving,,
2,0.052,Communication,Leadership,,
2,0.013,Communication,JavaScript,,
2,0.047,Communication,Collaboration,,
2,0.014,Communication,DevOps,,
2,0.014,Communication,Computer Science,,
2,0.013,Communication,Azure,,
2,0.015,Communication,Software Development,,
2,0.027,Communication,Project Management,,
2,0.013,Communication,Machine Learning,,
2,0.014,Communication,Bachelor's Degree,,
2,0.015,Communication,Tableau,,
2,0.016,Communication,Data Visualization,,
2,0.017,Communication,Quality Assurance,,
2,0.03,Communication,Problemsolving,,
2,0.017,Communication,Documentation,,
2,0.014,Communication,Data analysis,,
2,0.014,Communication,Analytical Skills,,
2,0.017,Communication,Mentoring,,
2,0.011,Communication,R,,
2,0.016,Communication,Reporting,,
2,0.018,Communication,Attention to Detail,,
2,0.021,Communication,ProblemSolving,,
2,0.01,Communication,Data Analytics,,
2,0.011,Communication,Power BI,,
2,0.01,Communication,Business Intelligence,,
2,0.012,Communication,Project management,,
2,0.012,Communication,Attention to detail,,
2,0.015,Communication,Time Management,,
2,0.012,Communication,Training,,
2,0.015,Communication,Adaptability,,
2,0.011,Communication,Microsoft Office Suite,,
2,0.012,Communication,Problem solving,,
2,0.012,Communication,Innovation,,
2,0.012,Communication,Critical Thinking,,
2,0.081,Java,AWS,,
2,0.054,Java,Kubernetes,,
2,0.013,Java,Teamwork,,
2,0.053,Java,Docker,,
2,0.027,Java,Linux,,
2,0.05,Java,Agile,,
2,0.036,Java,Software Engineering,,
2,0.011,Java,Problem Solving,,
2,0.01,Java,Leadership,,
2,0.048,Java,JavaScript,,
2,0.013,Java,Collaboration,,
2,0.023,Java,DevOps,,
2,0.014,Java,Computer Science,,
2,0.024,Java,Azure,,
2,0.021,Java,Software Development,,
2,0.039,Java,Go,,
2,0.024,Java,C++,,
2,0.023,Java,Git,,
2,0.017,Java,Machine Learning,,
2,0.018,Java,Bachelor's Degree,,
2,0.026,Java,Cloud Computing,,
2,0.023,Java,Jenkins,,
2,0.034,Java,NoSQL,,
2,0.039,Java,Scala,,
2,0.022,Java,React,,
2,0.022,Java,GCP,,
2,0.023,Java,Spark,,
2,0.011,Java,CI/CD,,
2,0.01,Java,Mentoring,,
2,0.026,Java,Microservices,,
2,0.025,Java,TypeScript,,
2,0.017,Java,HTML,,
2,0.023,Java,Kafka,,
2,0.015,Java,CSS,,
2,0.022,Java,Angular,,
2,0.019,Java,Hadoop,,
2,0.016,Java,MySQL,,
2,0.011,Java,Jira,,
2,0.013,Java,Scrum,,
2,0.017,Java,Node.js,,
2,0.013,Java,Snowflake,,
2,0.013,Java,Software engineering,,
2,0.017,Java,Microsoft Azure,,
2,0.01,Java,Oracle,,
2,0.015,Java,Cloud computing,,
2,0.012,Java,Hive,,
2,0.015,Java,RDBMS,,
2,0.017,Java,Open Source RDBMS,,
2,0.012,Java,Google Cloud,,
2,0.016,Java,HTML/CSS,,
2,0.013,Java,Agile practices,,
2,0.012,Java,Cassandra,,
2,0.012,Java,NoSQL databases,,
2,0.011,Java,Spring Boot,,
2,0.011,Java,Open Source Frameworks,,
2,0.062,AWS,Kubernetes,,
2,0.013,AWS,Teamwork,,
2,0.06,AWS,Docker,,
2,0.022,AWS,Linux,,
2,0.047,AWS,Agile,,
2,0.031,AWS,Software Engineering,,
2,0.011,AWS,Problem Solving,,
2,0.012,AWS,Leadership,,
2,0.034,AWS,JavaScript,,
2,0.015,AWS,Collaboration,,
2,0.03,AWS,DevOps,,
2,0.014,AWS,Computer Science,,
2,0.053,AWS,Azure,,
2,0.014,AWS,Software Development,,
2,0.037,AWS,Go,,
2,0.01,AWS,C++,,
2,0.021,AWS,Git,,
2,0.019,AWS,Machine Learning,,
2,0.017,AWS,Bachelor's Degree,,
2,0.03,AWS,Cloud Computing,,
2,0.021,AWS,Jenkins,,
2,0.031,AWS,NoSQL,,
2,0.03,AWS,Scala,,
2,0.022,AWS,React,,
2,0.011,AWS,Automation,,
2,0.022,AWS,Terraform,,
2,0.014,AWS,Ansible,,
2,0.011,AWS,Security,,
2,0.037,AWS,GCP,,
2,0.021,AWS,Spark,,
2,0.015,AWS,CI/CD,,
2,0.021,AWS,Microservices,,
2,0.025,AWS,TypeScript,,
2,0.01,AWS,HTML,,
2,0.017,AWS,Kafka,,
2,0.011,AWS,CSS,,
2,0.014,AWS,Angular,,
2,0.01,AWS,Data Engineering,,
2,0.016,AWS,Hadoop,,
2,0.015,AWS,MySQL,,
2,0.011,AWS,Jira,,
2,0.012,AWS,Scrum,,
2,0.019,AWS,Node.js,,
2,0.014,AWS,Snowflake,,
2,0.011,AWS,Software engineering,,
2,0.019,AWS,Microsoft Azure,,
2,0.016,AWS,Cloud computing,,
2,0.014,AWS,RDBMS,,
2,0.015,AWS,Open Source RDBMS,,
2,0.017,AWS,Google Cloud,,
2,0.013,AWS,HTML/CSS,,
2,0.012,AWS,Agile practices,,
2,0.01,AWS,Redshift,,
2,0.01,AWS,NoSQL databases,,
2,0.01,AWS,Open Source Frameworks,,
2,0.081,Kubernetes,Docker,,
2,0.02,Kubernetes,Linux,,
2,0.027,Kubernetes,Agile,,
2,0.022,Kubernetes,Software Engineering,,
2,0.025,Kubernetes,JavaScript,,
2,0.01,Kubernetes,Collaboration,,
2,0.027,Kubernetes,DevOps,,
2,0.021,Kubernetes,Azure,,
2,0.035,Kubernetes,Go,,
2,0.017,Kubernetes,Git,,
2,0.018,Kubernetes,Cloud Computing,,
2,0.021,Kubernetes,Jenkins,,
2,0.022,Kubernetes,NoSQL,,
2,0.015,Kubernetes,Scala,,
2,0.013,Kubernetes,React,,
2,0.023,Kubernetes,Terraform,,
2,0.019,Kubernetes,Ansible,,
2,0.018,Kubernetes,GCP,,
2,0.014,Kubernetes,CI/CD,,
2,0.019,Kubernetes,Microservices,,
2,0.018,Kubernetes,TypeScript,,
2,0.013,Kubernetes,Kafka,,
2,0.012,Kubernetes,Node.js,,
2,0.01,Kubernetes,Bash,,
2,0.011,Kubernetes,RDBMS,,
2,0.014,Kubernetes,Open Source RDBMS,,
2,0.012,Kubernetes,HTML/CSS,,
2,0.01,Kubernetes,Agile practices,,
2,0.015,Teamwork,Troubleshooting,,
2,0.016,Teamwork,Data Analysis,,
2,0.028,Teamwork,Problem Solving,,
2,0.028,Teamwork,Leadership,,
2,0.018,Teamwork,Collaboration,,
2,0.012,Teamwork,Project Management,,
2,0.013,Teamwork,Communication Skills,,
2,0.011,Teamwork,Communication skills,,
2,0.017,Teamwork,Problemsolving,,
2,0.014,Teamwork,Attention to Detail,,
2,0.011,Teamwork,ProblemSolving,,
2,0.011,Teamwork,Attention to detail,,
2,0.011,Teamwork,Time Management,,
2,0.012,Teamwork,Adaptability,,
2,0.018,Docker,Linux,,
2,0.027,Docker,Agile,,
2,0.021,Docker,Software Engineering,,
2,0.027,Docker,JavaScript,,
2,0.022,Docker,DevOps,,
2,0.019,Docker,Azure,,
2,0.032,Docker,Go,,
2,0.022,Docker,Git,,
2,0.017,Docker,Cloud Computing,,
2,0.024,Docker,Jenkins,,
2,0.021,Docker,NoSQL,,
2,0.015,Docker,Scala,,
2,0.013,Docker,React,,
2,0.018,Docker,Terraform,,
2,0.016,Docker,Ansible,,
2,0.017,Docker,GCP,,
2,0.012,Docker,CI/CD,,
2,0.017,Docker,Microservices,,
2,0.019,Docker,TypeScript,,
2,0.011,Docker,Angular,,
2,0.014,Docker,Node.js,,
2,0.011,Docker,RDBMS,,
2,0.014,Docker,Open Source RDBMS,,
2,0.012,Docker,HTML/CSS,,
2,0.01,Docker,Agile practices,,
2,0.013,Troubleshooting,Linux,,
2,0.012,Troubleshooting,Problem Solving,,
2,0.012,Troubleshooting,Collaboration,,
2,0.014,Troubleshooting,Networking,,
2,0.011,Troubleshooting,Documentation,,
2,0.01,Troubleshooting,Security,,
2,0.016,Linux,Agile,,
2,0.012,Linux,Software Engineering,,
2,0.01,Linux,JavaScript,,
2,0.016,Linux,DevOps,,
2,0.01,Linux,Azure,,
2,0.011,Linux,Software Development,,
2,0.021,Linux,C++,,
2,0.017,Linux,Git,,
2,0.013,Linux,Jenkins,,
2,0.013,Linux,Networking,,
2,0.011,Linux,Terraform,,
2,0.013,Linux,Ansible,,
2,0.03,Linux,Windows,,
2,0.01,Linux,Bash,,
2,0.021,Agile,Software Engineering,,
2,0.021,Agile,JavaScript,,
2,0.021,Agile,DevOps,,
2,0.015,Agile,Azure,,
2,0.011,Agile,Software Development,,
2,0.018,Agile,Go,,
2,0.015,Agile,Git,,
2,0.012,Agile,Bachelor's Degree,,
2,0.016,Agile,Cloud Computing,,
2,0.012,Agile,Jenkins,,
2,0.023,Agile,NoSQL,,
2,0.017,Agile,Scala,,
2,0.013,Agile,GCP,,
2,0.011,Agile,Spark,,
2,0.012,Agile,Microservices,,
2,0.012,Agile,TypeScript,,
2,0.01,Agile,Jira,,
2,0.02,Agile,Scrum,,
2,0.01,Agile,Node.js,,
2,0.011,Agile,RDBMS,,
2,0.012,Software Engineering,Problem Solving,,
2,0.01,Software Engineering,Leadership,,
2,0.017,Software Engineering,JavaScript,,
2,0.013,Software Engineering,DevOps,,
2,0.017,Software Engineering,Computer Science,,
2,0.015,Software Engineering,Software Development,,
2,0.015,Software Engineering,Go,,
2,0.012,Software Engineering,C++,,
2,0.011,Software Engineering,Machine Learning,,
2,0.013,Software Engineering,Bachelor's Degree,,
2,0.019,Software Engineering,Cloud Computing,,
2,0.011,Software Engineering,NoSQL,,
2,0.012,Software Engineering,TypeScript,,
2,0.023,Data Analysis,Problem Solving,,
2,0.011,Data Analysis,Leadership,,
2,0.011,Data Analysis,Collaboration,,
2,0.016,Data Analysis,Project Management,,
2,0.012,Data Analysis,Communication Skills,,
2,0.014,Data Analysis,Machine Learning,,
2,0.019,Data Analysis,Tableau,,
2,0.029,Data Analysis,Data Visualization,,
2,0.01,Data Analysis,Analytical Skills,,
2,0.015,Data Analysis,R,,
2,0.014,Data Analysis,Reporting,,
2,0.011,Data Analysis,Attention to Detail,,
2,0.014,Data Analysis,Power BI,,
2,0.01,Data Analysis,Excel,,
2,0.014,Data Analysis,Business Intelligence,,
2,0.011,Data Analysis,Data Warehousing,,
2,0.01,Data Analysis,Data Modeling,,
2,0.012,Data Analysis,Data Management,,
2,0.012,Data Analysis,Data Mining,,
2,0.021,Problem Solving,Leadership,,
2,0.019,Problem Solving,Collaboration,,
2,0.012,Problem Solving,Software Development,,
2,0.018,Problem Solving,Project Management,,
2,0.013,Problem Solving,Communication Skills,,
2,0.012,Problem Solving,Data Visualization,,
2,0.011,Problem Solving,Quality Assurance,,
2,0.014,Problem Solving,Analytical Skills,,
2,0.017,Problem Solving,Attention to Detail,,
2,0.012,Problem Solving,Time Management,,
2,0.012,Problem Solving,Critical Thinking,,
2,0.017,Leadership,Collaboration,,
2,0.013,Leadership,Project Management,,
2,0.01,Leadership,Quality Assurance,,
2,0.011,Leadership,Problemsolving,,
2,0.015,Leadership,Mentoring,,
2,0.011,JavaScript,DevOps,,
2,0.02,JavaScript,Go,,
2,0.013,JavaScript,Git,,
2,0.01,JavaScript,Cloud Computing,,
2,0.013,JavaScript,NoSQL,,
2,0.024,JavaScript,React,,
2,0.011,JavaScript,GCP,,
2,0.012,JavaScript,Microservices,,
2,0.03,JavaScript,TypeScript,,
2,0.026,JavaScript,HTML,,
2,0.026,JavaScript,CSS,,
2,0.02,JavaScript,Angular,,
2,0.011,JavaScript,Node.js,,
2,0.011,JavaScript,Microsoft Azure,,
2,0.016,JavaScript,HTML/CSS,,
2,0.011,Collaboration,Problemsolving,,
2,0.015,DevOps,Azure,,
2,0.015,DevOps,Git,,
2,0.012,DevOps,Cloud Computing,,
2,0.018,DevOps,Jenkins,,
2,0.013,DevOps,Automation,,
2,0.016,DevOps,Terraform,,
2,0.015,DevOps,Ansible,,
2,0.017,DevOps,CI/CD,,
2,0.011,DevOps,Microservices,,
2,0.011,Computer Science,Software Development,,
2,0.016,Computer Science,Engineering,,
2,0.01,Computer Science,Computer Engineering,,
2,0.01,Azure,Git,,
2,0.01,Azure,Machine Learning,,
2,0.012,Azure,Cloud Computing,,
2,0.011,Azure,Scala,,
2,0.026,Azure,GCP,,
2,0.012,Software Development,C++,,
2,0.011,Project Management,Communication Skills,,
2,0.012,Go,Cloud Computing,,
2,0.013,Go,NoSQL,,
2,0.015,Go,Scala,,
2,0.014,Go,GCP,,
2,0.017,Go,TypeScript,,
2,0.012,Go,Open Source RDBMS,,
2,0.013,Go,HTML/CSS,,
2,0.01,Go,Agile practices,,
